Borough, Neighborhood, Latitude, Longitude
Barking and Dagenham, Abbey,51.53982162,0.081291
Barking and Dagenham, Alibon,51.54592133,0.150987
Barking and Dagenham, Becontree,51.55260086,0.116912
Barking and Dagenham, Chadwell Heath,51.5834198,0.138596
Barking and Dagenham, Eastbrook,51.55519104,0.173453
Barking and Dagenham, Eastbury,51.53580856,0.104756
Barking and Dagenham, Gascoigne,51.53258133,0.085704
Barking and Dagenham, Goresbrook,51.53604126,0.132641
Barking and Dagenham, Heath,51.55868912,0.152931
Barking and Dagenham, Longbridge,51.54442978,0.093644
Barking and Dagenham, Mayesbrook,51.5451889,0.120332
Barking and Dagenham, Parsloes,51.54983139,0.13534801
Barking and Dagenham, River,51.5245018,0.15264501
Barking and Dagenham, Thames,51.52407837,0.119742
Barking and Dagenham, Valence,51.56122971,0.13592499
Barking and Dagenham, Village,51.53659058,0.166611
Barking and Dagenham, Whalebone,51.56827164,0.141911
Barnet, Brunswick Park,51.62760162,-0.14588
Barnet, Burnt Oak,51.60279846,-0.26113001
Barnet, Childs Hill,51.56528854,-0.20291001
Barnet, Colindale,51.59201813,-0.24826001
Barnet, Coppetts,51.61074829,-0.15207
Barnet, East Barnet,51.64614105,-0.15897
Barnet, East Finchley,51.59487915,-0.17062999
Barnet, Edgware,51.62643051,-0.28420001
Barnet, Finchley Church End,51.59680939,-0.20118
Barnet, Garden Suburb,51.58076096,-0.18111999
Barnet, Golders Green,51.57088852,-0.21477
Barnet, Hale,51.63005829,-0.25477001
Barnet, Hendon,51.59143066,-0.22458
Barnet, High Barnet,51.65541077,-0.21043
Barnet, Mill Hill,51.61397171,-0.22330999
Barnet, Oakleigh,51.63719177,-0.17072
Barnet, Totteridge,51.62659073,-0.20059
Barnet, Underhill,51.6445694,-0.20939
Barnet, West Finchley,51.60781097,-0.18878999
Barnet, West Hendon,51.57817078,-0.23504999
Barnet, Woodhouse,51.61130142,-0.17048
Bexley, Barnehurst,51.45718002,0.164272
Bexley, Belvedere,51.48696899,0.149278
